Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SAP_TS,Chrome 112.0.0.0,,,2023-04-26 13:15:13,2023-04-26 13:18:43,3m - 30.868s,FAILED
,,,,,,,
Test Cases/SAP_Login,Chrome 112.0.0.0,,,2023-04-26 13:15:13,2023-04-26 13:17:18,2m - 5.507s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-26 13:15:13,2023-04-26 13:15:20,6.914s,PASSED
"navigateToUrl(""https://cloudtrials.cfapps.eu10-004.hana.ondemand.com/public/access-trial/53cdcb45-79d8-4b1d-b610-da6f46c345bc?t=S4HANA_CLOUD"")",Chrome 112.0.0.0,,,2023-04-26 13:15:20,2023-04-26 13:15:24,3.626s,PASSED
maximizeWindow(),Chrome 112.0.0.0,,,2023-04-26 13:15:24,2023-04-26 13:15:29,5.504s,PASSED
"setText(findTestObject(""Object Repository/Page_SAP Trial Log On/input_E-Mail or User Name_j_username""), ""vaibhav.jain@katalon.com"")",Chrome 112.0.0.0,,,2023-04-26 13:15:29,2023-04-26 13:15:31,1.402s,PASSED
"click(findTestObject(""Object Repository/Page_SAP Trial Log On/div_Continue""))",Chrome 112.0.0.0,,,2023-04-26 13:15:31,2023-04-26 13:15:37,6.081s,PASSED
delay(40),Chrome 112.0.0.0,,,2023-04-26 13:15:37,2023-04-26 13:16:17,40.019s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_SAP Universal ID/input_com_password""), ""icP23tTPdjsOed6Z/XwIKg=="")",Chrome 112.0.0.0,,,2023-04-26 13:16:17,2023-04-26 13:16:18,0.888s,PASSED
"click(findTestObject(""Object Repository/Page_SAP Universal ID/button_Sign in""))",Chrome 112.0.0.0,,,2023-04-26 13:16:18,2023-04-26 13:16:18,0.720s,PASSED
delay(60),Chrome 112.0.0.0,,,2023-04-26 13:16:18,2023-04-26 13:17:18,1m - 0.018s,PASSED
,,,,,,,
Test Cases/SAP_CreateSalesOrder,Chrome 112.0.0.0,,,2023-04-26 13:17:18,2023-04-26 13:18:18,59.121s,PASSED
enableSmartWait(),Chrome 112.0.0.0,,,2023-04-26 13:17:19,2023-04-26 13:17:19,0.016s,PASSED
