Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SAP_TS,Chrome 112.0.0.0,,,2023-04-26 16:17:18,2023-04-26 16:21:04,3m - 45.701s,PASSED
,,,,,,,
Test Cases/SAP_Login,Chrome 112.0.0.0,,,2023-04-26 16:17:19,2023-04-26 16:19:28,2m - 9.785s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-26 16:17:19,2023-04-26 16:17:26,6.809s,PASSED
"navigateToUrl(""https://cloudtrials.cfapps.eu10-004.hana.ondemand.com/public/access-trial/53cdcb45-79d8-4b1d-b610-da6f46c345bc?t=S4HANA_CLOUD"")",Chrome 112.0.0.0,,,2023-04-26 16:17:26,2023-04-26 16:17:33,6.804s,PASSED
maximizeWindow(),Chrome 112.0.0.0,,,2023-04-26 16:17:33,2023-04-26 16:17:38,5.038s,PASSED
"setText(findTestObject(""Object Repository/Page_SAP Trial Log On/input_E-Mail or User Name_j_username""), ""vaibhav.jain@katalon.com"")",Chrome 112.0.0.0,,,2023-04-26 16:17:38,2023-04-26 16:17:39,1.250s,PASSED
"click(findTestObject(""Object Repository/Page_SAP Trial Log On/div_Continue""))",Chrome 112.0.0.0,,,2023-04-26 16:17:39,2023-04-26 16:17:46,6.963s,PASSED
delay(40),Chrome 112.0.0.0,,,2023-04-26 16:17:46,2023-04-26 16:18:26,40.021s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_SAP Universal ID/input_com_password""), ""icP23tTPdjsOed6Z/XwIKg=="")",Chrome 112.0.0.0,,,2023-04-26 16:18:26,2023-04-26 16:18:27,0.770s,PASSED
"click(findTestObject(""Object Repository/Page_SAP Universal ID/button_Sign in""))",Chrome 112.0.0.0,,,2023-04-26 16:18:27,2023-04-26 16:18:27,0.772s,PASSED
delay(60),Chrome 112.0.0.0,,,2023-04-26 16:18:27,2023-04-26 16:19:27,1m - 0.025s,PASSED
"click(findTestObject(""Page_Trial Center/span_UT""))",Chrome 112.0.0.0,,,2023-04-26 16:19:27,2023-04-26 16:19:28,0.997s,PASSED
,,,,,,,
Test Cases/SAP_CreateSalesOrder,Chrome 112.0.0.0,,,2023-04-26 16:19:28,2023-04-26 16:20:26,57.820s,PASSED
enableSmartWait(),Chrome 112.0.0.0,,,2023-04-26 16:19:29,2023-04-26 16:19:29,0.015s,PASSED
"setText(findTestObject(""Object Repository/Page_Trial Center/input_All_search""), ""manage sales orders"")",Chrome 112.0.0.0,,,2023-04-26 16:19:29,2023-04-26 16:19:30,1.208s,PASSED
"click(findTestObject(""Object Repository/Page_Trial Center/b_Manage Sales Order""))",Chrome 112.0.0.0,,,2023-04-26 16:19:30,2023-04-26 16:19:44,14.314s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Sales Orders/span_Create""))",Chrome 112.0.0.0,,,2023-04-26 16:19:44,2023-04-26 16:19:54,10.096s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Sales Orders/div_Create Sales Order VA01""))",Chrome 112.0.0.0,,,2023-04-26 16:19:54,2023-04-26 16:19:55,0.892s,PASSED
"setText(findTestObject(""Object Repository/Page_Create Sales Documents/input_O_InputField""), ""OR"")",Chrome 112.0.0.0,,,2023-04-26 16:19:55,2023-04-26 16:20:04,8.576s,PASSED
"click(findTestObject(""Object Repository/Page_Create Sales Documents/div_ContinueEmphasized""))",Chrome 112.0.0.0,,,2023-04-26 16:20:04,2023-04-26 16:20:10,5.725s,PASSED
"setText(findTestObject(""Object Repository/Page_Create Standard Order Overview/input_S_InputField""), ""17100007"")",Chrome 112.0.0.0,,,2023-04-26 16:20:10,2023-04-26 16:20:11,1.212s,PASSED
"click(findTestObject(""Object Repository/Page_Create Standard Order Overview/span_17100007""))",Chrome 112.0.0.0,,,2023-04-26 16:20:11,2023-04-26 16:20:12,1.226s,PASSED
"setText(findTestObject(""Object Repository/Page_Create Standard Order Overview/input_C_InputField""), ""TEST"")",Chrome 112.0.0.0,,,2023-04-26 16:20:12,2023-04-26 16:20:13,0.544s,PASSED
"click(findTestObject(""Object Repository/Page_Create Standard Order Overview/div_Standard OrderNet ValueSold-to PartyShi_75e7b7""))",Chrome 112.0.0.0,,,2023-04-26 16:20:13,2023-04-26 16:20:13,0.511s,PASSED
"setText(findTestObject(""Object Repository/Page_Create Standard Order Overview/input_P_InputField""), ""0004"")",Chrome 112.0.0.0,,,2023-04-26 16:20:13,2023-04-26 16:20:14,0.536s,PASSED
